symbol,tf,exit,filter,total_signals,is_n,oos_n,oos_mean,oos_wr,oos_total,expectancy_score
UK100,15m,A,VOL_HIGH,14,3,0,0.0,0.0,0.0,0.0
UK100,15m,A,VOL_NORMAL,14,4,5,0.22330478535486037,0.6,1.116523926774302,0.0
UK100,15m,A,LEVEL_FRESH,14,3,5,0.10747937069652333,0.6,0.5373968534826167,0.0
UK100,15m,A,TREND_ALIGN,14,0,0,0.0,0.0,0.0,0.0
UK100,15m,A,TREND_AGAINST,14,7,7,0.17765399173686341,0.5714285714285714,1.243577942158044,0.0
UK100,15m,B,no_filter,14,7,7,0.14285714285714285,0.5714285714285714,1.0,0.0
UK100,15m,B,VOL_HIGH,14,3,0,0.0,0.0,0.0,0.0
UK100,15m,B,VOL_NORMAL,14,4,5,0.2,0.6,1.0,0.0
UK100,15m,B,LEVEL_FRESH,14,3,5,-0.2,0.4,-1.0,0.0
UK100,15m,B,TREND_ALIGN,14,0,0,0.0,0.0,0.0,0.0
UK100,15m,B,TREND_AGAINST,14,7,7,0.14285714285714285,0.5714285714285714,1.0,0.0
UK100,15m,C,no_filter,14,7,7,-0.20955647129533597,0.14285714285714285,-1.4668952990673518,0.0
UK100,15m,C,VOL_HIGH,14,3,0,0.0,0.0,0.0,0.0
UK100,15m,C,VOL_NORMAL,14,4,5,-0.26998892969154803,0.0,-1.3499446484577402,0.0
UK100,15m,C,LEVEL_FRESH,14,3,5,-0.1782139948171177,0.2,-0.8910699740855885,0.0
UK100,15m,C,TREND_ALIGN,14,0,0,0.0,0.0,0.0,0.0
UK100,15m,C,TREND_AGAINST,14,7,7,-0.20955647129533597,0.14285714285714285,-1.4668952990673518,0.0
UK100,15m,D,no_filter,14,7,7,0.15100673730219127,0.5714285714285714,1.057047161115339,0.0
UK100,15m,D,VOL_HIGH,14,3,0,0.0,0.0,0.0,0.0
UK100,15m,D,VOL_NORMAL,14,4,5,0.17752836145406897,0.6,0.8876418072703449,0.0
UK100,15m,D,LEVEL_FRESH,14,3,5,-0.13660958248462,0.4,-0.6830479124230999,0.0
UK100,15m,D,TREND_ALIGN,14,0,0,0.0,0.0,0.0,0.0
UK100,15m,D,TREND_AGAINST,14,7,7,0.15100673730219127,0.5714285714285714,1.057047161115339,0.0
UK100,1h,A,no_filter,53,26,27,0.24995760961363886,0.7407407407407407,6.748855459568249,0.0
UK100,1h,A,VOL_HIGH,53,1,4,0.7261038807238884,1.0,2.9044155228955537,0.0
UK100,1h,A,VOL_NORMAL,53,20,21,0.19643016999572863,0.7142857142857143,4.125033569910301,0.0
UK100,1h,A,LEVEL_FRESH,53,16,20,0.17503311501834973,0.7,3.5006623003669946,0.0
UK100,1h,A,TREND_ALIGN,53,4,3,0.16750946003659953,0.6666666666666666,0.5025283801097986,0.0
UK100,1h,A,TREND_AGAINST,53,22,24,0.2602636283107687,0.75,6.24632707945845,0.0
UK100,1h,B,no_filter,53,26,27,0.037037037037037035,0.5185185185185185,1.0,0.0
UK100,1h,B,VOL_HIGH,53,1,4,0.5,0.75,2.0,0.0
UK100,1h,B,VOL_NORMAL,53,20,21,-0.047619047619047616,0.47619047619047616,-1.0,0.0
UK100,1h,B,LEVEL_FRESH,53,16,20,-0.1,0.45,-2.0,0.0
UK100,1h,B,TREND_ALIGN,53,4,3,-0.3333333333333333,0.3333333333333333,-1.0,0.0
UK100,1h,B,TREND_AGAINST,53,22,24,0.08333333333333333,0.5416666666666666,2.0,0.0
UK100,1h,C,no_filter,53,26,27,-0.000944747417530951,0.48148148148148145,-0.02550818027333568,0.0
UK100,1h,C,VOL_HIGH,53,1,4,0.3196581253859824,0.5,1.2786325015439295,0.0
UK100,1h,C,VOL_NORMAL,53,20,21,-0.05838872755735251,0.47619047619047616,-1.2261632787044028,0.0
UK100,1h,C,LEVEL_FRESH,53,16,20,-0.11638692010753453,0.4,-2.3277384021506906,0.0
UK100,1h,C,TREND_ALIGN,53,4,3,-0.4182959721504804,0.3333333333333333,-1.2548879164514413,0.0
UK100,1h,C,TREND_AGAINST,53,22,24,0.051224155674087724,0.5,1.2293797361781054,0.0
UK100,1h,D,no_filter,53,26,27,0.005424465859830988,0.5185185185185185,0.14646057821543668,0.0
UK100,1h,D,VOL_HIGH,53,1,4,0.5824015565667714,0.75,2.3296062262670856,0.0
UK100,1h,D,VOL_NORMAL,53,20,21,-0.09442424480692761,0.47619047619047616,-1.98290914094548,0.0
UK100,1h,D,LEVEL_FRESH,53,16,20,-0.12504975871361007,0.45,-2.500995174272201,0.0
UK100,1h,D,TREND_ALIGN,53,4,3,-0.3946447738411649,0.3333333333333333,-1.1839343215234948,0.0
UK100,1h,D,TREND_AGAINST,53,22,24,0.055433120822455495,0.5416666666666666,1.3303948997389319,0.0
UK100,4h,A,no_filter,25,12,13,0.27517255804216467,0.6923076923076923,3.577243254548141,0.0
UK100,4h,A,VOL_HIGH,25,2,2,0.0270574645604722,0.5,0.0541149291209444,0.0
UK100,4h,A,VOL_NORMAL,25,10,6,0.47558713130303554,0.8333333333333334,2.8535227878182132,0.0
UK100,4h,A,LEVEL_FRESH,25,4,10,0.0676067895027354,0.6,0.676067895027354,0.0
UK100,4h,A,TREND_ALIGN,25,0,0,0.0,0.0,0.0,0.0
UK100,4h,A,TREND_AGAINST,25,12,13,0.27517255804216467,0.6923076923076923,3.577243254548141,0.0
